IZCode,IZName,TotPop2022,HHRes2022,HHCnt2022,Easting,Northing
S02002515,Culter,4753.00000000000,4685.00000000000,2281.00000000000,383855.00000000000,801018.00000000000
S02002516,"Cults, Bieldside and Milltimber West",4864.00000000000,4569.00000000000,1799.00000000000,386459.00000000000,801970.00000000000
S02002517,"Cults, Bieldside and Milltimber East",3465.00000000000,3214.00000000000,1407.00000000000,389248.00000000000,803031.00000000000
S02002518,"Cults, Bieldside and Milltimber Central",3388.00000000000,3324.00000000000,1295.00000000000,388142.00000000000,802935.00000000000
S02002519,Garthdee,5429.00000000000,5215.00000000000,2543.00000000000,391829.00000000000,803471.00000000000
S02002520,"Braeside, Mannofield, Broomhill and Seafield East",3903.00000000000,3848.00000000000,2088.00000000000,392546.00000000000,804700.00000000000
S02002521,"Braeside, Mannofield, Broomhill and Seafield South",3800.00000000000,3694.00000000000,1791.00000000000,391809.00000000000,804054.00000000000
S02002522,"Braeside, Mannofield, Broomhill and Seafield North",4459.00000000000,4382.00000000000,2223.00000000000,391163.00000000000,804815.00000000000
S02002523,Hazlehead,6333.00000000000,6287.00000000000,2963.00000000000,390438.00000000000,805229.00000000000
S02002524,Summerhill,3511.00000000000,3488.00000000000,1794.00000000000,390386.00000000000,806490.00000000000
S02002525,Midstocket,4596.00000000000,4583.00000000000,2235.00000000000,392013.00000000000,806659.00000000000
S02002526,Rosemount,5471.00000000000,5363.00000000000,3441.00000000000,393231.00000000000,806532.00000000000
S02002527,West End North,3593.00000000000,3581.00000000000,1621.00000000000,392120.00000000000,806057.00000000000
S02002528,West End South,5589.00000000000,5586.00000000000,3138.00000000000,392591.00000000000,805284.00000000000
S02002529,City Centre West,3929.00000000000,3703.00000000000,2361.00000000000,393343.99959999998,806071.00000000000
S02002530,City Centre East,2582.00000000000,2482.00000000000,1554.00000000000,394049.00000000000,805758.00000000000
S02002531,Ferryhill North,4517.00000000000,4467.00000000000,2753.00000000000,393772.00000000000,805236.00000000000
S02002532,Ferryhill South,4405.00000000000,4266.00000000000,2376.00000000000,393320.00000000000,804790.00000000000
S02002533,"Kincorth, Leggart and Nigg North",3549.00000000000,3544.00000000000,1719.00000000000,393335.00000000000,803291.00000000000
S02002534,"Kincorth, Leggart and Nigg South",5383.00000000000,5383.00000000000,2495.00000000000,393716.00000000000,802994.00000000000
S02002535,Cove South,3522.00000000000,3522.00000000000,1603.00000000000,394918.00000000000,800760.00000000000
S02002536,Cove North,4325.00000000000,4325.00000000000,2072.00000000000,394760.00000000000,801807.00000000000
S02002537,Torry West,4218.00000000000,4139.00000000000,2431.00000000000,394824.00000000000,804635.00000000000
S02002538,Torry East,4127.00000000000,4104.00000000000,2060.00000000000,395629.00000000000,804844.00000000000
S02002539,Hanover South,3184.00000000000,3184.00000000000,1952.00000000000,394691.00000000000,806840.00000000000
S02002540,Hanover North,4020.00000000000,3428.00000000000,2106.00000000000,394524.00000000000,807153.00000000000
S02002541,George Street,7084.00000000000,5400.00000000000,3318.00000000000,393860.39350000001,806966.32929999998
S02002542,Ashgrove,3710.00000000000,3602.00000000000,2051.00000000000,392758.00000000000,807279.00000000000
S02002543,"Froghall, Powis and Sunnybank",5523.00000000000,5142.00000000000,2646.00000000000,393814.00000000000,807552.00000000000
S02002544,Seaton,4981.00000000000,3784.00000000000,2425.00000000000,394579.35460000002,808229.68500000006
S02002545,Old Aberdeen,4048.00000000000,2303.00000000000,1339.00000000000,394461.00000000000,808689.00000000000
S02002546,Tillydrone,5344.00000000000,5344.00000000000,2677.00000000000,392875.00000000000,809032.00000000000
S02002547,Woodside,3749.00000000000,3646.00000000000,1926.00000000000,392480.00000000000,808915.00000000000
S02002548,Hilton,6005.00000000000,6000.00000000000,3219.00000000000,392402.00000000000,808429.00000000000
S02002549,Stockethill,4832.00000000000,4832.00000000000,2595.00000000000,391590.00000000000,807547.00000000000
S02002550,Mastrick,4231.00000000000,4231.00000000000,2090.00000000000,390563.00000000000,807144.00000000000
S02002551,Sheddocksley,4684.00000000000,4679.00000000000,2363.00000000000,389540.00000000000,806977.00000000000
S02002552,Cummings Park,3266.00000000000,3266.00000000000,1427.00000000000,391214.00000000000,808151.00000000000
S02002553,Northfield,5021.00000000000,4998.00000000000,2119.00000000000,389961.00000000000,808281.00000000000
S02002554,Heathryfold and Middlefield,4718.00000000000,4660.00000000000,2027.00000000000,390943.00000000000,808845.00000000000
S02002555,Kingswells,3181.00000000000,3180.00000000000,1291.00000000000,386820.00000000000,807706.00000000000
S02002556,Kingswells North and Newhills,3358.00000000000,3308.00000000000,1409.00000000000,386926.00000000000,808385.00000000000
S02002557,Bucksburn South,5156.00000000000,5152.00000000000,2567.00000000000,389922.00000000000,809683.00000000000
S02002558,Bucksburn North,5795.00000000000,5797.00000000000,2858.00000000000,389131.00000000000,810310.00000000000
S02002559,Dyce,5024.00000000000,4973.00000000000,2356.00000000000,388994.00000000000,813182.00000000000
S02002560,Danestone,3754.00000000000,3582.00000000000,1760.00000000000,391945.00000000000,809987.00000000000
S02002561,Oldmachar West,4886.00000000000,4886.00000000000,2231.00000000000,392329.00000000000,811522.00000000000
S02002562,Oldmachar East,4654.00000000000,4524.00000000000,1955.00000000000,393212.00000000000,810993.00000000000
S02002563,Balgownie and Donmouth West,3596.00000000000,3596.00000000000,1793.00000000000,393418.00000000000,810121.00000000000
S02002564,Balgownie and Donmouth East,2431.00000000000,2431.00000000000,1202.00000000000,394533.00000000000,810230.00000000000
S02002565,Denmore,4072.00000000000,4059.00000000000,1701.00000000000,393893.00000000000,812131.00000000000
S02002566,East Cairngorms,3247.00000000000,3247.00000000000,1637.00000000000,336852.00000000000,795597.00000000000
S02002567,Aboyne and South Deeside,5082.00000000000,5025.00000000000,2201.00000000000,353564.00000000000,798706.00000000000
S02002568,Mearns and Laurencekirk,3470.00000000000,3402.00000000000,1452.00000000000,371357.00000000000,771408.00000000000
S02002569,Mearns South and Benholm,5150.00000000000,5133.00000000000,2181.00000000000,368479.00000000000,767365.00000000000
S02002570,Mearns North and Inverbervie,5992.00000000000,5960.00000000000,2531.00000000000,382611.00000000000,772361.00000000000
S02002571,"Fetteresso, Netherley and Catter",4654.00000000000,4654.00000000000,1881.00000000000,383833.00000000000,788898.00000000000
S02002572,Stonehaven South,5409.00000000000,5311.00000000000,2497.00000000000,386413.00000000000,785886.00000000000
S02002573,Stonehaven North,5768.00000000000,5705.00000000000,2627.00000000000,386425.00000000000,786497.00000000000
S02002574,Newtonhill,3178.00000000000,3178.00000000000,1323.00000000000,390876.00000000000,793468.00000000000
S02002575,Portlethen,3980.00000000000,3938.00000000000,1807.00000000000,391505.00000000000,796263.00000000000
S02002576,Banchory-Devenick and Findon,5831.00000000000,5812.00000000000,2189.00000000000,392157.00000000000,797954.00000000000
S02002577,"Dunecht, Durris and Drumoak",5309.00000000000,5307.00000000000,2135.00000000000,379135.00000000000,798982.00000000000
S02002578,Banchory East,4349.00000000000,4347.00000000000,1893.00000000000,370615.00000000000,796397.00000000000
S02002579,Banchory West,3232.00000000000,3189.00000000000,1471.00000000000,369852.00000000000,796044.00000000000
S02002580,Crathes and Torphins,3793.00000000000,3717.00000000000,1621.00000000000,362545.00000000000,801444.00000000000
S02002581,Cromar and Kildrummy,4091.00000000000,4043.00000000000,1814.00000000000,354652.00000000000,809937.00000000000
S02002582,Howe of Alford,6406.00000000000,6370.00000000000,2743.00000000000,359271.00000000000,815776.00000000000
S02002583,Kemnay,3873.00000000000,3835.00000000000,1695.00000000000,373604.00000000000,815997.00000000000
S02002584,Inverurie North,5167.00000000000,5167.00000000000,2554.00000000000,376523.00000000000,822230.00000000000
S02002585,Inverurie South,5157.00000000000,5119.00000000000,2708.00000000000,377519.00000000000,820949.00000000000
S02002586,Inverurie - Harlaw,5314.00000000000,5273.00000000000,1956.00000000000,375751.00000000000,822763.00000000000
S02002587,Durno and Chapel of Garioch,2768.00000000000,2768.00000000000,1132.00000000000,371507.00000000000,828278.00000000000
S02002588,Kintore,5993.00000000000,5979.00000000000,2425.00000000000,378681.00000000000,816129.00000000000
S02002589,Blackburn,3406.00000000000,3406.00000000000,1278.00000000000,382736.00000000000,813006.00000000000
S02002590,Westhill North and South,4454.00000000000,4454.00000000000,1750.00000000000,381738.00000000000,807496.00000000000
S02002591,Westhill Central,3764.00000000000,3764.00000000000,1783.00000000000,382712.00000000000,807137.00000000000
