FID,IZ05CD,IZ05NM
1,S02000301,IZ Fourteen
2,S02000101,Fraserburgh Smiddyhill
3,S02000151,"Mull, Iona, Coll and Tiree"
4,S02000001,Cove South
5,S02000201,City Centre
6,S02000051,Stonehaven South
7,S02000251,New Farm Loch South
8,S02000351,Craiglockhart
9,S02000302,IZ Fifteen
10,S02000303,IZ Sixteen
11,S02000304,IZ Seventeen
12,S02000305,IZ Eighteen
13,S02000306,IZ Nineteen
14,S02000307,IZ Twenty
15,S02000308,IZ Twenty One
16,S02000309,IZ Twenty Two
17,S02000310,Eaglesham and Waterfoot
18,S02000311,Mearnskirk and South Kirkhill
19,S02000312,North Kirkhill
20,S02000313,"Mearns Village, Westacres and Greenfarm"
21,S02000314,West Neilston and Uplawmoor
22,S02000315,Busby
23,S02000316,Whitecraigs and Broom
24,S02000317,Clarkston and Sheddens
25,S02000318,Crookfur and Fruin
26,S02000319,Williamwood
27,S02000320,Stamperland
28,S02000321,West Arthurlie and North Neilston
29,S02000322,Auchenback
30,S02000323,Lower Whitecraigs and South Giffnock
31,S02000324,South Thornliebank and Woodfarm
32,S02000325,Netherlee
33,S02000326,Merrylee and Braidbar
34,S02000102,Fraserburgh Lochpots
35,S02000103,Fraserburgh Central-Academy
36,S02000327,North Giffnock and North Thornliebank
37,S02000252,"Altonhill South, Longpark and Hillhead"
38,S02000352,Craighouse and South Morningside
39,S02000152,"Clackmannan, Kennet and Forestmill"
40,S02000002,"Kincorth, Leggart and Nigg South"
41,S02000202,Logie and Blackness
42,S02000052,Stonehaven North
43,S02000104,Fraserburgh Harbour and Broadsea
44,S02000203,Docks and Wellgate
45,S02000003,Culter
46,S02000153,Alloa South and East
47,S02000353,Parkhead
48,S02000253,Dean and New Farm Loch North
49,S02000328,"Dunterlie, East Arthurlie and Dovecothall"
50,S02000053,"Fetteresso, Netherley and Catter"
51,S02000105,Monifieth West
52,S02000254,Altonhill North and Onthank
53,S02000354,Greendykes and Niddrie Mains
54,S02000154,Alloa West
55,S02000004,"Cults, Bieldside and Milltimber East"
56,S02000204,Balgay
57,S02000329,Cross Stobbs
58,S02000005,Cove North
59,S02000155,Sauchie
60,S02000054,Aboyne and South Deeside
61,S02000106,Monifieth East
62,S02000355,Blackford
63,S02000255,Southcraig and Beansburn
64,S02000205,Menzieshill
65,S02000356,Longstone and Saughton Mains
66,S02000330,Balerno
67,S02000107,Carnoustie West
68,S02000055,Newtonhill
69,S02000156,Tullibody South
70,S02000006,"Kincorth, Leggart and Nigg North"
71,S02000256,Kilmaurs Rural
72,S02000157,Alloa North
73,S02000056,East Cairngorms
74,S02000206,Broughty Ferry Wes
75,S02000108,Carnoustie East
76,S02000331,Bonaly and Pentlands
77,S02000357,Morningside
78,S02000007,"Cults, Bieldside and Milltimber West"
79,S02000257,Northern and Irvine Valley Rural
80,S02000109,Monikie
81,S02000332,South East Bypass
82,S02000207,Craigie and  Craigiebank
83,S02000057,Banchory
84,S02000158,"Fishcross, Devon Village and Coalsnaughton"
85,S02000358,Broomhouse and Sighthill
86,S02000058,Portlethen
87,S02000208,Stobswell
88,S02000008,Garthdee
89,S02000110,South Angus
90,S02000333,"Gracemount, Southouse and Burdiehouse"
91,S02000258,Stewarton West
92,S02000159,Tullibody North and Glenochil
93,S02000359,Hutchison and Moat
94,S02000111,Arbroath Keptie
95,S02000334,Mortonhall
96,S02000009,"Braeside, Mannofield, Broomhill and Seafield South"
97,S02000209,Law
98,S02000059,Banchory-Devenick and Findon
99,S02000259,Stewarton East
100,S02000335,Fairmilehead
101,S02000112,Arbroath Harbour
102,S02000160,Menstrie
103,S02000010,Ferryhill South
104,S02000210,West Ferry
105,S02000011,"Braeside, Mannofield, Broomhill and Seafield East"
106,S02000161,Dollar and Muckhart
107,S02000113,Arbroath Kirkton
108,S02000336,Comiston and Swanston
109,S02000260,Auchinairn
110,S02000360,Merchiston and Greenhill
111,S02000337,Currie East
112,S02000114,Arbroath Cliffburn
113,S02000261,Woodhill East
114,S02000162,Alva
115,S02000012,Torry West
116,S02000211,Hilltown
117,S02000060,Crathes and Torphins
118,S02000338,Hyvots and Gilmerton Dykes
119,S02000061,"Dunecht, Durris and Drumoak"
120,S02000212,Barnhill
121,S02000115,Arbroath Warddykes
122,S02000013,"Braeside, Mannofield, Broomhill and Seafield North"
123,S02000163,Tillicoultry
124,S02000339,Currie West
125,S02000062,Garlogie and Elrick
126,S02000213,Broughty Ferry East
127,S02000116,Letham and Glamis
128,S02000262,Woodhill West
129,S02000361,Grange
130,S02000014,Hazlehead
131,S02000164,Machars South
132,S02000340,Baberton and Juniper Green
133,S02000063,Westhill Central
134,S02000214,Lochee
135,S02000117,Kirriemuir Landward
136,S02000263,Westerton East
137,S02000362,Niddrie
138,S02000015,Torry East
139,S02000165,Kirkmaiden
140,S02000341,Oxgangs and Firrhill
141,S02000064,Westhill North and South
142,S02000215,Baxter Park
143,S02000118,Forfar West
144,S02000264,Bishopbriggs West and Cadder
145,S02000363,South Gyle
146,S02000016,Ferryhill North
147,S02000017,West End South
148,S02000018,City Centre
149,S02000019,West End North
150,S02000020,Summerhill
151,S02000021,Rosemount
152,S02000022,Hanover
153,S02000023,Midstocket
154,S02000024,George Street
155,S02000025,Mastrick
156,S02000026,Ashgrove
157,S02000027,Sheddocksley
158,S02000028,Stockethill
159,S02000029,"Froghall, Powis and Sunnybank"
160,S02000030,Cummings Park
161,S02000031,Northfield
162,S02000032,Seaton
163,S02000033,Hilton
164,S02000034,Heathryfold and Middlefield
165,S02000035,Kingswells
166,S02000036,Tillydrone
167,S02000037,Old Aberdeen
168,S02000038,Woodside
169,S02000039,Bucksburn South
170,S02000040,Danestone
171,S02000041,Balgownie and Donmouth West
172,S02000042,Balgownie and Donmouth East
