IZ11CD,IZ11NM,FID
S02001236,Culter,1
S02001237,"Cults, Bieldside and Milltimber West",2
S02001238,"Cults, Bieldside and Milltimber East",3
S02001239,Garthdee,4
S02001240,"Braeside, Mannofield, Broomhill and Seafield East",5
S02001241,"Braeside, Mannofield, Broomhill and Seafield South",6
S02001242,"Braeside, Mannofield, Broomhill and Seafield North",7
S02001243,Hazlehead,8
S02001244,Summerhill,9
S02001245,Midstocket,10
S02001246,Rosemount,11
S02001247,West End North,12
S02001248,West End South,13
S02001249,City Centre West,14
S02001250,City Centre East,15
S02001251,Ferryhill North,16
S02001252,Ferryhill South,17
S02001253,"Kincorth, Leggart and Nigg North",18
S02001254,"Kincorth, Leggart and Nigg South",19
S02001255,Cove South,20
S02001256,Cove North,21
S02001257,Torry West,22
S02001258,Torry East,23
S02001259,Hanover South,24
S02001260,Hanover North,25
S02001261,George Street,26
S02001262,Ashgrove,27
S02001263,"Froghall, Powis and Sunnybank",28
S02001264,Seaton,29
S02001265,Old Aberdeen,30
S02001266,Tillydrone,31
S02001267,Woodside,32
S02001268,Hilton,33
S02001269,Stockethill,34
S02001270,Mastrick,35
S02001271,Sheddocksley,36
S02001272,Cummings Park,37
S02001273,Northfield,38
S02001274,Heathryfold and Middlefield,39
S02001275,Kingswells,40
S02001276,Bucksburn South,41
S02001277,Bucksburn North,42
S02001278,Dyce,43
S02001279,Danestone,44
S02001280,Oldmachar West,45
S02001281,Oldmachar East,46
S02001282,Balgownie and Donmouth West,47
S02001283,Balgownie and Donmouth East,48
S02001284,Denmore,49
S02001285,East Cairngorms,50
S02001286,Aboyne and South Deeside,51
S02001287,Mearns and Laurencekirk,52
S02001288,Mearns South and Benholm,53
S02001289,Mearns North and Inverbervie,54
S02001290,"Fetteresso, Netherley and Catter",55
S02001291,Stonehaven South,56
S02001292,Stonehaven North,57
S02001293,Newtonhill,58
S02001294,Portlethen,59
S02001295,Banchory-Devenick and Findon,60
S02001296,"Dunecht, Durris and Drumoak",61
S02001297,Banchory East,62
S02001298,Banchory West,63
S02001299,Crathes and Torphins,64
S02001300,Cromar and Kildrummy,65
S02001301,Howe of Alford,66
S02001302,Kemnay,67
S02001303,Inverurie North,68
S02001304,Inverurie South,69
S02001305,Durno-Chapel of Garioch,70
S02001306,Kintore,71
S02001307,Blackburn,72
S02001308,Westhill North and South,73
S02001309,Westhill Central,74
S02001310,Garlogie and Elrick,75
S02001311,Newmachar and Fintray,76
S02001312,Balmedie and Potterton,77
S02001313,Ellon East,78
S02001314,Ellon West,79
S02001315,Ythanside,80
S02001316,Ythsie,81
S02001317,Barrahill,82
S02001318,Fyvie-Rothie,83
S02001319,"Insch, Oyne and Ythanwells",84
S02001320,Clashindarroch,85
S02001321,Huntly,86
S02001322,Auchterless and Monquhitter,87
S02001323,Turriff,88
S02001324,"Portsoy, Fordyce and Cornhill",89
S02001325,Aberchirder and Whitehills,90
S02001326,Banff,91
S02001327,Macduff,92
S02001328,Gardenstown and King Edward,93
S02001329,New Pitsligo,94
S02001330,Deer and Mormond,95
S02001331,Mintlaw,96
S02001332,Auchnagatt,97
S02001333,Cruden,98
S02001334,Peterhead Links,99
S02001335,Peterhead Bay,100
S02001436,Lockerbie,101
S02001437,Moffat,102
S02001438,Langholm and Eskdale,103
S02001439,Annandale East,104
S02001440,Annandale West,105
S02001441,Annan West,106
S02001442,Annan East,107
S02001443,Eastriggs,108
S02001444,Gretna,109
S02001445,Westend,110
S02001446,Perth Road,111
S02001447,Logie and Blackness,112
S02001448,City Centre,113
S02001449,Docks and Wellgate,114
S02001450,Hilltown,115
S02001451,The Glens,116
S02001452,Stobswell,117
S02001453,Baxter Park,118
S02001454,Craigie and  Craigiebank,119
S02001455,Douglas West,120
S02001456,West Ferry,121
S02001457,Douglas East,122
S02001458,Broughty Ferry West,123
S02001459,Broughty Ferry East,124
S02001460,Barnhill,125
S02001461,West Pitkerro,126
S02001462,Whitfield,127
S02001463,Fintry,128
S02001464,Linlathen and Midcraigie,129
S02001465,Caird Park,130
S02001466,Kirkton,131
S02001467,Downfield,132
S02001468,Fairmuir,133
S02001469,Law,134
S02001470,Balgay,135
S02001471,Menzieshill,136
S02001472,Charleston,137
S02001473,Lochee,138
S02001474,Ardler and St Marys,139
S02001475,Western Edge,140
S02001476,Doon Valley South,141
S02001477,Doon Valley North,142
S02001478,Mauchline Rural,143
S02001479,Drongan,144
S02001480,Mauchline,145
S02001481,Cumnock Rural,146
S02001482,New Cumnock,147
S02001483,Cumnock South and Craigens,148
S02001484,Cumnock North,149
S02001485,Auchinleck,150
S02001336,Peterhead Harbour,151
S02001337,Peterhead Ugieside,152
S02001338,Longside and Rattray,153
S02001339,Rosehearty and Strathbeg,154
S02001340,Fraserburgh Smiddyhill,155
S02001341,Fraserburgh Lochpots,156
S02001342,Fraserburgh Central-Academy,157
S02001343,Fraserburgh Harbour and Broadsea,158
S02001344,South Angus,159
S02001345,Monikie,160
S02001346,Monifieth West,161
S02001347,Monifieth East,162
S02001348,Carnoustie West,163
S02001349,Carnoustie East,164
S02001350,Arbroath Landward,165
S02001351,Arbroath Kirkton,166
S02001352,Arbroath Keptie,167
S02001353,Arbroath Harbour,168
S02001354,Arbroath Cliffburn,169
S02001355,Arbroath Warddykes,170
S02001356,Lunan,171
S02001357,Montrose South,172
S02001358,Montrose North,173
S02001359,Hillside,174
S02001360,Friockheim,175
S02001361,Brechin East,176
S02001362,Brechin West,177
S02001363,Letham and Glamis,178
S02001364,Forfar East,179
S02001365,Forfar Central,180
S02001366,Forfar West,181
S02001367,Kirriemuir Landward,182
S02001368,Kirriemuir,183
S02001369,Angus Glens,184
S02001370,"Mull, Iona, Coll and Tiree",185
S02001371,Oban South,186
S02001372,Oban North,187
S02001373,Benderloch Trail,188
S02001374,Loch Awe,189
S02001375,Mid Argyll,190
S02001376,Greater Lochgilphead,191
S02001377,Knapdale,192
S02001378,Whisky Isles,193
S02001379,Kintyre Trail,194
S02001380,Campbeltown,195
S02001381,Bute,196
S02001382,Rothesay Town,197
S02001383,Cowal South,198
S02001384,Cowal North,199
S02001385,Hunter's Quay,200
S02001536,IZ03,201
S02001537,IZ04,202
S02001538,IZ05,203
S02001539,IZ06,204
S02001540,IZ07,205
S02001541,IZ08,206
S02001542,IZ09,207
S02001543,IZ10,208
S02001544,IZ11,209
S02001545,IZ12,210
S02001546,IZ13,211
S02001547,IZ14,212
S02001548,IZ15,213
S02001549,IZ16,214
S02001550,IZ17,215
S02001551,IZ18,216
S02001552,IZ19,217
S02001553,IZ20,218
S02001554,IZ21,219
S02001555,IZ22,220
S02001556,West Neilston and Uplawmoor,221
S02001557,Cross Stobbs,222
S02001558,"Dunterlie, East Arthurlie and Dovecothall",223
S02001559,West Arthurlie and North Neilston,224
S02001560,Auchenback,225
S02001561,Crookfur and Fruin,226
S02001562,"Mearns Village, Westacres and Greenfarm",227
S02001563,Whitecraigs and Broom,228
S02001564,Mearnskirk and South Kirkhill,229
S02001565,Eaglesham and Waterfoot,230
S02001566,North Kirkhill,231
S02001567,Busby,232
S02001568,Clarkston and Sheddens,233
S02001569,Williamwood,234
S02001570,Stamperland,235
S02001571,Netherlee,236
S02001572,Merrylee and Braidbar,237
S02001573,Lower Whitecraigs and South Giffnock,238
S02001574,North Giffnock and North Thornliebank,239
S02001575,South Thornliebank and Woodfarm,240
S02001576,Balerno and Bonnington Village,241
S02001577,Currie West,242
S02001578,Currie East,243
S02001579,Baberton and Juniper Green,244
S02001580,Bonaly and The Pentlands,245
S02001581,Colinton and Kingsknowe,246
S02001582,Clovenstone and Wester Hailes,247
S02001583,The Calders,248
S02001584,Murrayburn and Wester Hailes North,249
S02001585,Parkhead and Sighthill,250
S02001586,Broomhouse and Bankhead,251
S02001587,Stenhouse and Saughton Mains,252
S02001588,Longstone and Saughton,253
S02001589,Slateford and Chesser,254
S02001590,Gorgie West,255
S02001591,Gorgie East,256
S02001592,Shandon,257
S02001593,Craiglockhart,258
S02001594,Morningside and Craighouse,259
S02001595,Greenbank and The Braids,260
S02001596,Colinton Mains and Firrhill,261
S02001597,Oxgangs,262
S02001598,Comiston and Swanston,263
S02001599,Fairmilehead,264
S02001600,Gilmerton South and the Murrays,265
S02001601,Mortonhall and Anwickhill,266
S02001602,"Gracemount, Southhouse and Burdiehouse",267
S02001603,Hyvots and Gilmerton,268
S02001604,Fernieside and Moredun South,269
S02001605,Moredun and Craigour,270
S02001606,Liberton East,271
S02001607,Liberton West and Braid Hills,272
S02001608,The Inch,273
S02001609,"Blackford, West Mains and Mayfield Road",274
S02001610,Prestonfield,275
S02001611,Newington and Dalkeith Road,276
S02001612,The Grange,277
S02001613,Marchmont East and Sciennes,278
S02001614,Marchmont West,279
S02001615,Morningside,280
S02001616,Merchiston and Greenhill,281
S02001617,Bruntsfield,282
S02001618,Polwarth,283
S02001619,Dalry and Fountainbridge,284
S02001620,Tollcross,285
S02001621,Meadows and Southside,286
S02001622,"Old Town, Princes Street and Leith Street",287
S02001623,"Canongate, Southside and Dumbiedykes",288
S02001624,Abbeyhill,289
S02001625,Meadowbank and Abbeyhill North,290
S02001626,Willowbrae and Duddingston Village,291
S02001627,Craigmillar,292
S02001628,Niddrie,293
S02001629,"Bingham, Magdalene and The Christians",294
S02001630,"Jewel, Brunstane and Newcraighall",295
S02001631,Joppa,296
S02001632,Portobello,297
S02001633,Duddingston and Portobello South,298
S02001634,Mountcastle,299
S02001635,Northfield and Piershill,300
S02001486,Northern and Irvine Valley Rural,301
S02001487,Stewarton East,302
S02001488,Stewarton West,303
S02001489,Darvel,304
S02001490,Newmilns,305
S02001491,Galston,306
S02001492,Earlston and Hurlford Rural,307
S02001493,Shortlees,308
S02001494,Bellfield and Kirkstyle,309
S02001495,Kilmarnock South Central and Caprington,310
S02001496,Piersland,311
S02001497,New Farm Loch South,312
S02001498,Dean and New Farm Loch North,313
S02001499,Southcraig and Beansburn,314
S02001500,Altonhill North and Onthank,315
S02001501,"Altonhill South, Longpark and Hillhead",316
S02001502,Bonnyton and Town Centre,317
S02001503,"Grange, Howard and Gargieston",318
S02001504,"Crosshouse, Gatehead and Kilmaurs Rural",319
S02001505,Kilmaurs,320
S02001506,West Clober and Mains Estate,321
S02001507,East Clober and Mains Estate,322
S02001508,Barloch,323
S02001509,Keystone and Dougalston,324
S02001510,Kilmardinny East,325
S02001511,Kilmardinny West,326
S02001512,North Castlehill and Thorn,327
S02001513,South Castlehill and Thorn,328
S02001514,Westerton West,329
S02001515,Westerton East,330
S02001516,Kessington West,331
S02001517,Kessington East,332
S02001518,Torrance and Balmore,333
S02001519,Bishopbriggs North and Kenmure,334
S02001520,Bishopbriggs West and Cadder,335
S02001521,Auchinairn,336
S02001522,Woodhill East,337
S02001523,Woodhill West,338
S02001524,Lenzie North,339
S02001525,Lenzie South,340
S02001526,Kirkintilloch South,341
S02001527,Kirkintilloch West,342
S02001528,Hillhead,343
S02001529,Rosebank and Waterside,344
S02001530,Twechar and Harestanes East,345
S02001531,Harestanes,346
S02001532,Milton of Campsie,347
S02001533,Lennoxtown,348
